编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T213,双石通淋胶囊,SSTLJN,CHINESE_PATENT,CAPSULE,每粒装 0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T214,马应龙麝香痔疮膏软膏剂,MYLSXZCG,CHINESE_PATENT,CREAM,常规说明书规格,支,,,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T215-01,内消瘰疬丸,NXLLW,CHINESE_PATENT,OTHER,每 10 丸重 1.85g,丸,1.85,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T215-02,内消瘰疬丸,NXLLW,CHINESE_PATENT,OTHER,每 100 粒重 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T215-03,内消瘰疬丸,NXLLW,CHINESE_PATENT,OTHER,每瓶装 9g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T216-01,小金丸（胶囊、片）,XJWJNP,CHINESE_PATENT,OTHER,每 10 丸重 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T216-02,小金丸（胶囊、片）,XJWJNP,CHINESE_PATENT,OTHER,每100 丸重 3g,丸,3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T216-03,小金丸（胶囊、片）,XJWJNP,CHINESE_PATENT,OTHER,6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T216-04,小金丸（胶囊、片）,XJWJNP,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T216-05,小金丸（胶囊、片）,XJWJNP,CHINESE_PATENT,CAPSULE,每粒装 0.35g,粒,0.35,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
